site,month,surfWaterNitrateMean
LEWI,Jan,213
LEWI,Jan,212.9
LEWI,Jan,212.8
LEWI,Jan,212.9
LEWI,Jan,212.7
LEWI,Jan,212.6
LEWI,Jan,212.7
LEWI,Jan,212.6
LEWI,Jan,212.5
LEWI,Jan,212.7
LEWI,Jan,212.7
LEWI,Jan,212.7
LEWI,Jan,212.8
LEWI,Jan,212.9
LEWI,Jan,212.8
LEWI,Jan,212.9
LEWI,Jan,213.1
LEWI,Jan,213.1
LEWI,Jan,213.2
LEWI,Jan,213.3
LEWI,Jan,213.3
LEWI,Jan,213.4
LEWI,Jan,213.4
LEWI,Jan,213.6
LEWI,Jan,213.6
LEWI,Jan,213.7
LEWI,Jan,213.7
LEWI,Jan,213.7
LEWI,Jan,213.7
LEWI,Jan,213.5
LEWI,Jan,213.7
LEWI,Jan,213.9
LEWI,Jan,213.7
LEWI,Jan,213.8
LEWI,Jan,215.3
LEWI,Jan,220.3
LEWI,Jan,220.1
LEWI,Jan,216.5
LEWI,Jan,201.2
LEWI,Jan,186.3
LEWI,Jan,183.3
LEWI,Jan,187.7
LEWI,Jan,194.8
LEWI,Jan,200.7
LEWI,Jan,205
LEWI,Jan,207.8
LEWI,Jan,209.5
LEWI,Jan,210.9
LEWI,Jan,211.6
LEWI,Jan,212.2
LEWI,Jan,212.6
LEWI,Jan,212.9
LEWI,Jan,213
LEWI,Jan,213.1
LEWI,Jan,213
LEWI,Jan,213
LEWI,Jan,213.1
LEWI,Jan,213.1
LEWI,Jan,212.9
LEWI,Jan,212.9
LEWI,Jan,212.7
LEWI,Jan,212.6
LEWI,Jan,212.5
LEWI,Jan,212.2
LEWI,Jan,212.3
LEWI,Jan,212
LEWI,Jan,212
LEWI,Jan,212
LEWI,Jan,211.8
LEWI,Jan,211.8
LEWI,Jan,211.9
LEWI,Jan,212.1
LEWI,Jan,212.1
LEWI,Jan,212.1
LEWI,Jan,212
LEWI,Jan,212.3
LEWI,Jan,216
LEWI,Jan,218.3
LEWI,Jan,216.6
LEWI,Jan,206.8
LEWI,Jan,189.4
LEWI,Jan,181.4
LEWI,Jan,183.2
LEWI,Jan,189.6
LEWI,Jan,196.1
LEWI,Jan,200.9
LEWI,Jan,203.9
