site,month,surfWaterTempMean
LEWI,Jan,7.047
LEWI,Jan,7.052
LEWI,Jan,7.083
LEWI,Jan,7.124
LEWI,Jan,7.176
LEWI,Jan,7.232
LEWI,Jan,7.307
LEWI,Jan,7.392
LEWI,Jan,7.477
LEWI,Jan,7.57
LEWI,Jan,7.674
LEWI,Jan,7.778
LEWI,Jan,7.866
LEWI,Jan,7.975
LEWI,Jan,8.033
LEWI,Jan,8.067
LEWI,Jan,8.078
LEWI,Jan,7.978
LEWI,Jan,7.764
LEWI,Jan,7.724
LEWI,Jan,7.612
LEWI,Jan,7.533
LEWI,Jan,7.388
LEWI,Jan,7.237
LEWI,Jan,7.076
LEWI,Jan,6.917
LEWI,Jan,6.75
LEWI,Jan,6.592
LEWI,Jan,6.44
LEWI,Jan,6.279
LEWI,Jan,6.129
LEWI,Jan,5.995
LEWI,Jan,5.864
LEWI,Jan,5.733
LEWI,Jan,5.637
LEWI,Jan,5.543
LEWI,Jan,5.466
LEWI,Jan,5.407
LEWI,Jan,5.357
LEWI,Jan,5.311
LEWI,Jan,5.301
LEWI,Jan,5.337
LEWI,Jan,5.352
LEWI,Jan,5.359
LEWI,Jan,5.379
LEWI,Jan,5.385
LEWI,Jan,5.38
LEWI,Jan,5.382
LEWI,Jan,5.407
LEWI,Jan,5.478
LEWI,Jan,5.572
LEWI,Jan,5.687
LEWI,Jan,5.79
LEWI,Jan,5.868
LEWI,Jan,5.98
LEWI,Jan,6.105
LEWI,Jan,6.207
LEWI,Jan,6.289
LEWI,Jan,6.385
LEWI,Jan,6.481
LEWI,Jan,6.584
LEWI,Jan,6.681
LEWI,Jan,6.755
LEWI,Jan,6.791
LEWI,Jan,6.831
LEWI,Jan,6.87
LEWI,Jan,6.894
LEWI,Jan,6.908
LEWI,Jan,6.907
LEWI,Jan,6.918
LEWI,Jan,6.931
LEWI,Jan,6.946
LEWI,Jan,6.955
LEWI,Jan,6.958
LEWI,Jan,6.967
LEWI,Jan,6.983
LEWI,Jan,6.997
LEWI,Jan,7.009
LEWI,Jan,7.022
LEWI,Jan,7.034
LEWI,Jan,6.994
LEWI,Jan,6.73
LEWI,Jan,6.785
LEWI,Jan,6.733
LEWI,Jan,6.744
LEWI,Jan,6.823
